Grant County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201407,3.11,0.22
201408,1.52,-1.43
201409,2.06,0.68
201410,1.71,0.16
201411,0.16,-0.35
201412,0.98,0.40
201501,0.74,0.33
201502,0.73,0.33
201503,0.39,-0.64
201504,0.72,-0.82
201505,7.36,5.05
201506,2.22,-0.77
201507,4.77,1.88
201508,3.26,0.31
201509,0.72,-0.66
201510,4.07,2.52
201511,0.84,0.33
201512,0.75,0.17
201601,0.01,-0.40
201602,0.23,-0.17
201603,0.02,-1.01
201604,5.35,3.81
201605,1.02,-1.29
201606,3.87,0.88
201607,3.77,0.88
201608,2.65,-0.30
201609,0.84,-0.54
201610,0.14,-1.41
201611,0.04,-0.47
201612,0.45,-0.13
201701,1.13,0.72
201702,0.11,-0.29
201703,2.73,1.70
201704,4.70,3.16
201705,2.40,0.09
201706,1.49,-1.50
201707,4.97,2.08
201708,3.40,0.45
201709,2.89,1.51
201710,1.26,-0.29
201711,0.01,-0.50
201712,0.00,-0.58
201801,0.02,-0.39
201802,0.02,-0.38
201803,0.06,-0.97
201804,0.80,-0.74
201805,2.67,0.36
201806,4.44,1.45
201807,3.90,1.01
201808,3.97,1.02
201809,2.71,1.33
201810,3.75,2.20
201811,0.29,-0.22
201812,1.50,0.92
201901,0.82,0.41
201902,0.77,0.37
201903,1.97,0.94
201904,0.31,-1.23
201905,5.56,3.25
201906,2.29,-0.70
201907,2.06,-0.83
201908,1.47,-1.48
201909,0.17,-1.21
201910,0.41,-1.14
201911,0.17,-0.34
