State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,067,Grant,1998,5,Wheat,Hail,1055.00,113.500000,2,6922.000000,422.000000
20,Kansas,067,Grant,1998,6,Wheat,Drought,225.00,77.000000,1,4384.000000,393.000000
20,Kansas,067,Grant,1998,6,Wheat,Hail,72723.00,1701.540100,5,156607.000000,6136.000000
20,Kansas,067,Grant,1998,6,Wheat,Heat,999.00,82.708000,1,9631.000000,221.000000
20,Kansas,067,Grant,2000,2,Wheat,Drought,430.00,52.693000,1,3660.000000,238.000000
20,Kansas,067,Grant,2000,3,Wheat,Drought,406.00,34.684000,1,2906.000000,161.000000
20,Kansas,067,Grant,2000,3,Wheat,Freeze,19538.00,572.050000,3,58780.000000,2673.000000
20,Kansas,067,Grant,2000,3,Wheat,"Plant Disease",164.00,20.708000,1,1272.000000,59.000000
20,Kansas,067,Grant,2000,4,Wheat,Drought,2602.00,254.102000,1,17869.000000,1206.000000
20,Kansas,067,Grant,2000,4,Wheat,Flood,6059.00,82.041000,1,10415.000000,264.000000
20,Kansas,067,Grant,2000,4,Wheat,"Plant Disease",11761.00,476.082000,1,42490.000000,1708.000000
20,Kansas,067,Grant,2000,5,Wheat,Drought,8989.00,644.345300,4,35559.000000,2536.000000
20,Kansas,067,Grant,2000,5,Wheat,Freeze,15625.74,593.511350,2,77098.550000,2512.840000
20,Kansas,067,Grant,2000,5,Wheat,Heat,10549.20,273.000000,2,19254.600000,1329.000000
20,Kansas,067,Grant,2000,5,Wheat,"Hot Wind",61296.40,1484.088000,3,149914.000000,6667.000000
20,Kansas,067,Grant,2000,5,Wheat,"Plant Disease",31952.60,829.279000,2,81090.200000,3503.200000
20,Kansas,067,Grant,2000,6,Wheat,"Decline In Price",2572.00,173.280000,1,18901.000000,761.000000
20,Kansas,067,Grant,2000,6,Wheat,Drought,7123.64,247.140000,1,16018.820000,1163.900000
20,Kansas,067,Grant,2000,6,Wheat,Freeze,2971.60,156.486000,2,12035.200000,566.800000
20,Kansas,067,Grant,2000,6,Wheat,Hail,5265.00,258.410000,2,20097.000000,820.000000
20,Kansas,067,Grant,2000,6,Wheat,Heat,1136.50,51.692500,1,5195.000000,160.500000
