Date,Value,Anomaly
194305,50.7,-4.7
194306,57,-4.6
194307,67.8,-1.7
194308,64.7,-4.2
194309,61.6,0.8
194310,50.1,1.4
194311,37.2,-1.3
194312,30,-1.3
194401,30.3,-1.9
194402,31.8,-3.2
194403,36.9,-4.8
194404,48,0.2
194405,55.4,0
194406,60.6,-1
194407,68.1,-1.4
194408,65.2,-3.7
194409,61.7,0.9
194410,54.7,6
194411,36.4,-2.1
194412,28.4,-2.9
194501,33.1,0.9
194502,36,1
194503,38.2,-3.5
194504,44.1,-3.7
194505,55,-0.4
194506,58.8,-2.8
194507,68.9,-0.6
194508,67.6,-1.3
194509,55.7,-5.1
194510,50.5,1.8
194511,36.1,-2.4
194512,30,-1.3
194601,30.9,-1.3
194602,34.8,-0.2
194603,41.3,-0.4
194604,48,0.2
194605,55.6,0.2
194606,59.2,-2.4
194607,68,-1.5
194608,68.2,-0.7
194609,58.6,-2.2
194610,43.6,-5.1
194611,35.3,-3.2
194612,33.4,2.1
194701,24.8,-7.4
194702,36.7,1.7
194703,43.1,1.4
194704,47.7,-0.1
194705,59.1,3.7
194706,59.5,-2.1
194707,67.5,-2
194708,65.2,-3.7
194709,60.4,-0.4
194710,50.1,1.4
194711,35.6,-2.9
194712,33.5,2.2
194801,29.1,-3.1
194802,30.5,-4.5
194803,36.9,-4.8
194804,44.7,-3.1
194805,52.8,-2.6
194806,64.6,3
194807,64.3,-5.2
194808,64.5,-4.4
194809,58,-2.8
194810,47.5,-1.2
194811,35.9,-2.6
194812,23.5,-7.8
194901,9.6,-22.6
194902,28.5,-6.5
194903,40.7,-1
194904,50.3,2.5
194905,57.7,2.3
194906,61,-0.6
194907,67,-2.5
194908,66.9,-2
194909,60.9,0.1
194910,44.3,-4.4
194911,43.1,4.6
194912,31,-0.3
195001,11.6,-20.6
195002,31.6,-3.4
195003,37.8,-3.9
195004,44.7,-3.1
195005,52.4,-3
195006,60.4,-1.2
195007,67.7,-1.8
195008,68.1,-0.8
195009,60.5,-0.3
195010,48.9,0.2
195011,38.1,-0.4
195012,36.7,5.4
195101,29.4,-2.8
195102,33.9,-1.1
195103,36.2,-5.5
195104,47.3,-0.5
195105,54.4,-1
195106,59.2,-2.4
195107,68.9,-0.6
195108,65.9,-3
195109,60,-0.8
195110,47.3,-1.4
195111,36.4,-2.1
195112,25.6,-5.7
195201,24,-8.2
195202,33.1,-1.9
195203,38.3,-3.4
195204,50.3,2.5
